従業員満足度調査結果 - 2024年12月実施（30件）

社員ID,年齢,部署,勤続年数,総合満足度(5段階),職場環境(5段階),給与待遇(5段階),上司との関係(5段階),仕事内容(5段階),成長機会(5段階),ワークライフバランス(5段階),コメント
EMP001,28,営業,3,4,4,3,5,4,4,3,営業目標は適切だが給与水準をもう少し上げてほしい
EMP002,35,企画,8,3,3,2,3,4,3,2,残業が多く家族時間が確保できない
EMP003,42,開発,12,5,5,4,5,5,4,4,技術的に成長できる環境で満足している
EMP004,29,人事,4,4,4,4,4,3,4,5,人事制度の改善に携われるのでやりがいがある
EMP005,31,営業,6,2,2,2,2,3,2,1,営業ノルマがきつく上司のサポートが不足している
EMP006,26,開発,2,5,5,3,4,5,5,4,新しい技術に触れられて楽しい
EMP007,38,財務,10,3,3,3,3,3,2,3,業務は安定しているが成長機会が少ない
EMP008,33,営業,7,4,3,4,4,4,3,3,顧客との関係構築にやりがいを感じる
EMP009,27,企画,1,4,4,3,4,5,4,4,企画職として幅広い業務に関われて満足
EMP010,45,開発,15,4,4,4,4,4,3,4,ベテランとして後輩指導にやりがいを感じる
EMP011,30,人事,5,3,3,3,3,3,3,2,人事業務は重要だが評価されにくい
EMP012,25,営業,1,3,3,2,3,3,4,2,新人として不安が多い
EMP013,36,企画,9,2,2,2,2,2,2,1,企画が通らず成果が見えにくい
EMP014,32,開発,8,5,5,4,5,5,5,5,最高の職場環境だと思う
EMP015,29,財務,5,4,4,4,4,3,3,4,数字に向き合う仕事で充実している
EMP016,34,営業,6,3,3,3,3,4,3,2,営業成績にプレッシャーを感じる
EMP017,27,人事,3,4,5,3,4,4,4,5,働きやすい環境作りに貢献できる
EMP018,41,開発,13,4,4,4,4,4,3,4,技術トレンドについていくのが大変
EMP019,28,企画,4,5,5,4,5,5,5,4,クリエイティブな仕事で毎日楽しい
EMP020,37,財務,11,3,3,3,3,3,2,3,ルーティンワークが多い
EMP021,26,営業,2,2,2,2,1,3,2,1,上司との関係が悪く転職を考えている
EMP022,33,開発,7,4,4,4,4,4,4,4,バランスの取れた職場だと思う
EMP023,29,人事,4,5,5,4,5,4,5,5,人事として社員の役に立てる
EMP024,39,企画,12,3,3,3,2,3,2,2,管理職になってから責任が重い
EMP025,31,財務,6,4,4,4,4,3,3,3,安定した業務で満足している
EMP026,24,営業,0.5,3,3,2,3,3,3,2,入社したばかりで慣れるのに時間がかかる
EMP027,35,開発,9,5,5,5,5,5,4,5,理想的な開発環境が整っている
EMP028,32,人事,7,3,3,3,3,3,3,3,普通の職場だと思う
EMP029,28,企画,3,4,4,3,4,5,4,3,企画業務は面白いが給与がもう少し欲しい
EMP030,43,財務,14,4,4,4,4,3,3,4,経験を活かして安定して働けている
